NAME                                VERSION            TYPE                      
1to2                                1.0.0              npm                       
@adraffy/ens-normalize              1.10.1             npm                       
@babel/helper-string-parser         7.27.1             npm                       
@babel/helper-validator-identifier  7.27.1             npm                       
@babel/parser                       7.28.3             npm                       
@babel/types                        7.28.2             npm                       
@colors/colors                      1.6.0              npm     (+1 duplicate)    
@dabh/diagnostics                   2.0.3              npm                       
@ethereumjs/rlp                     4.0.1              npm                       
@ethereumjs/rlp                     5.0.2              npm                       
@gar/promisify                      1.1.3              npm                       
@isaacs/cliui                       8.0.2              npm                       
@isaacs/fs-minipass                 4.0.1              npm                       
@my-scope/package-a                 0.0.0              npm                       
@my-scope/package-b                 0.0.0              npm                       
@nlpjs/core                         4.26.1             npm                       
@nlpjs/core-loader                  4.26.1             npm                       
@nlpjs/evaluator                    4.26.1             npm                       
@nlpjs/lang-en                      4.26.1             npm                       
@nlpjs/lang-en-min                  4.26.1             npm                       
@nlpjs/language                     4.25.0             npm                       
@nlpjs/language-min                 4.25.0             npm                       
@nlpjs/ner                          4.27.0             npm                       
@nlpjs/neural                       4.25.0             npm                       
@nlpjs/nlg                          4.26.1             npm                       
@nlpjs/nlp                          4.27.0             npm                       
@nlpjs/nlu                          4.27.0             npm                       
@nlpjs/request                      4.25.0             npm                       
@nlpjs/sentiment                    4.26.1             npm                       
@nlpjs/similarity                   4.26.1             npm                       
@nlpjs/slot                         4.26.1             npm                       
@noble/curves                       1.2.0              npm                       
@noble/curves                       1.4.2              npm     (+1 duplicate)    
@noble/hashes                       1.3.2              npm                       
@noble/hashes                       1.4.0              npm     (+2 duplicates)   
@npmcli/agent                       3.0.0              npm                       
@npmcli/fs                          1.1.1              npm                       
@npmcli/fs                          4.0.0              npm                       
@npmcli/move-file                   1.1.2              npm                       
@otplib/core                        12.0.1             npm                       
@otplib/plugin-crypto               12.0.1             npm                       
@otplib/plugin-thirty-two           12.0.1             npm                       
@otplib/preset-default              12.0.1             npm                       
@otplib/preset-v11                  12.0.1             npm                       
@pkgjs/parseargs                    0.11.0             npm                       
@scarf/scarf                        1.4.0              npm                       
@scure/base                         1.1.9              npm                       
@scure/bip32                        1.4.0              npm                       
@scure/bip39                        1.3.0              npm                       
@sindresorhus/is                    0.7.0              npm                       
@swc/helpers                        0.3.17             npm                       
@tokenizer/token                    0.3.0              npm                       
@tootallnate/once                   1.1.2              npm                       
@tootallnate/once                   2.0.0              npm                       
@types/component-emitter            1.2.14             npm                       
@types/cookie                       0.4.1              npm                       
@types/cors                         2.8.19             npm                       
@types/debug                        4.1.12             npm                       
@types/ms                           2.1.0              npm                       
@types/node                         20.19.12           npm                       
@types/node                         22.7.5             npm                       
@types/strip-bom                    3.0.0              npm                       
@types/strip-json-comments          0.0.30             npm                       
@types/triple-beam                  1.3.5              npm                       
@types/validator                    13.15.3            npm                       
@types/ws                           8.5.3              npm                       
abbrev                              1.1.1              npm                       
abbrev                              3.0.1              npm                       
abitype                             0.7.1              npm                       
abort-controller                    3.0.0              npm                       
accepts                             1.3.8              npm                       
acorn                               7.4.1              npm                       
acorn                               8.15.0             npm                       
acorn-walk                          8.3.4              npm                       
aes-js                              4.0.0-beta.5       npm                       
agent-base                          6.0.2              npm                       
agent-base                          7.1.4              npm     (+1 duplicate)    
agentkeepalive                      4.6.0              npm                       
aggregate-error                     3.1.0              npm                       
ansi-regex                          2.1.1              npm     (+2 duplicates)   
ansi-regex                          3.0.1              npm                       
ansi-regex                          5.0.1              npm                       
ansi-regex                          6.2.0              npm     (+1 duplicate)    
ansi-styles                         2.2.1              npm                       
ansi-styles                         3.2.1              npm                       
ansi-styles                         4.3.0              npm     (+2 duplicates)   
ansi-styles                         6.2.1              npm                       
anymatch                            3.1.3              npm                       
append-field                        1.0.0              npm                       
aproba                              1.2.0              npm                       
archive-type                        4.0.0              npm                       
archiver                            1.3.0              npm                       
archiver-utils                      1.3.0              npm                       
are-we-there-yet                    1.1.7              npm                       
are-we-there-yet                    3.0.1              npm                       
arg                                 4.1.3              npm                       
argparse                            1.0.10             npm                       
arr-diff                            4.0.0              npm                       
arr-flatten                         1.1.0              npm                       
arr-union                           3.1.0              npm                       
array-buffer-byte-length            1.0.2              npm                       
array-each                          1.0.1              npm                       
array-flatten                       1.1.1              npm                       
array-slice                         1.1.0              npm                       
array-unique                        0.3.2              npm                       
asap                                2.0.6              npm                       
assert-never                        1.4.0              npm                       
assign-symbols                      1.0.0              npm                       
async                               2.6.4              npm     (+1 duplicate)    
async                               3.2.6              npm                       
at-least-node                       1.0.0              npm                       
atob                                2.1.2              npm                       
available-typed-arrays              1.0.7              npm                       
babel-walk                          3.0.0-canary-5     npm                       
balanced-match                      1.0.2              npm                       
base                                0.11.2             npm                       
base-files                          12.4+deb12u11      deb                       
base64-arraybuffer                  0.1.4              npm                       
base64-js                           0.0.8              npm                       
base64-js                           1.5.1              npm                       
base64id                            2.0.0              npm                       
base64url                           0.0.6              npm                       
basic-auth                          2.0.1              npm                       
batch                               0.6.1              npm                       
baz                                 UNKNOWN            npm                       
beep-boop                           1.2.3              npm                       
big-integer                         1.6.52             npm                       
binary                              0.3.0              npm                       
binary-extensions                   2.3.0              npm                       
bindings                            1.5.0              npm                       
bintrees                            1.0.2              npm                       
bl                                  1.2.3              npm                       
bl                                  4.1.0              npm                       
bluebird                            3.4.7              npm                       
bluebird                            3.7.2              npm                       
body-parser                         1.20.3             npm                       
bower-config                        1.4.3              npm                       
brace-expansion                     1.1.12             npm     (+10 duplicates)  
brace-expansion                     2.0.2              npm                       
braces                              2.3.2              npm                       
braces                              3.0.3              npm     (+2 duplicates)   
brotli                              1.3.3              npm                       
browser_field                       UNKNOWN            npm                       
buffer                              5.7.1              npm                       
buffer                              6.0.3              npm                       
buffer-alloc                        1.2.0              npm                       
buffer-alloc-unsafe                 1.1.0              npm                       
buffer-crc32                        0.2.13             npm                       
buffer-fill                         1.0.0              npm                       
buffer-from                         1.1.2              npm                       
buffer-indexof-polyfill             1.0.2              npm                       
buffers                             0.1.1              npm                       
busboy                              1.6.0              npm                       
byline                              4.2.2              npm                       
bytes                               3.1.2              npm                       
cacache                             15.3.0             npm                       
cacache                             19.0.1             npm                       
cache-base                          1.0.1              npm                       
cacheable-request                   2.1.4              npm                       
call-bind                           1.0.8              npm                       
call-bind-apply-helpers             1.0.2              npm                       
call-bound                          1.0.4              npm                       
camelcase                           5.3.1              npm                       
chainsaw                            0.1.0              npm                       
chalk                               1.1.3              npm                       
chalk                               2.4.2              npm                       
chalk                               4.1.2              npm                       
character-parser                    2.2.0              npm                       
check-dependencies                  1.1.1              npm                       
check-internet-connected            2.0.6              npm                       
check-types                         6.0.0              npm                       
chokidar                            3.5.1              npm                       
chownr                              1.1.4              npm     (+1 duplicate)    
chownr                              2.0.0              npm                       
chownr                              3.0.0              npm                       
clarinet                            0.12.6             npm                       
class-utils                         0.3.6              npm                       
clean-stack                         2.2.0              npm                       
cliui                               6.0.0              npm                       
clone                               2.1.2              npm                       
clone-response                      1.0.2              npm                       
code-point-at                       1.1.0              npm                       
collection-visit                    1.0.0              npm                       
color                               3.2.1              npm                       
color-convert                       1.9.3              npm                       
color-convert                       2.0.1              npm     (+2 duplicates)   
color-name                          1.1.3              npm                       
color-name                          1.1.4              npm     (+2 duplicates)   
color-string                        1.9.1              npm                       
color-support                       1.1.3              npm                       
colors                              1.1.2              npm                       
colors                              1.4.0              npm                       
colorspace                          1.1.4              npm                       
commander                           2.20.3             npm     (+1 duplicate)    
component-emitter                   1.3.1              npm                       
component-type                      1.2.1              npm                       
compress-commons                    1.2.2              npm                       
compressible                        2.0.18             npm                       
compression                         1.8.1              npm                       
concat-map                          0.0.1              npm                       
concat-stream                       1.6.2              npm                       
config                              3.3.12             npm                       
console-control-strings             1.1.0              npm                       
constantinople                      4.0.1              npm                       
content-disposition                 0.5.4              npm                       
content-type                        1.0.5              npm                       
cookie                              0.4.2              npm                       
cookie                              0.7.1              npm                       
cookie                              0.7.2              npm                       
cookie-parser                       1.4.7              npm                       
cookie-signature                    1.0.6              npm                       
copy-descriptor                     0.1.1              npm                       
core-util-is                        1.0.2              npm                       
cors                                2.8.5              npm                       
crc                                 3.8.0              npm                       
crc-32                              1.2.2              npm                       
crc32-stream                        2.0.0              npm                       
create-require                      1.1.1              npm                       
cross-fetch                         4.1.0              npm                       
cross-fetch-polyfill                0.0.0              npm                       
cross-spawn                         7.0.6              npm                       
crypto-js                           3.3.0              npm                       
dateformat                          4.6.3              npm                       
debug                               2.6.9              npm     (+8 duplicates)   
debug                               3.2.7              npm                       
debug                               4.3.7              npm                       
decamelize                          1.2.0              npm                       
decode-uri-component                0.2.2              npm                       
decompress                          4.2.1              npm                       
decompress-response                 3.3.0              npm                       
decompress-response                 4.2.1              npm                       
decompress-response                 6.0.0              npm     (+1 duplicate)    
decompress-tar                      4.1.1              npm                       
decompress-tarbz2                   4.1.1              npm                       
decompress-targz                    4.1.1              npm                       
decompress-unzip                    4.0.1              npm                       
deep-equal                          2.2.3              npm                       
deep-extend                         0.6.0              npm                       
define-data-property                1.1.4              npm                       
define-properties                   1.2.1              npm                       
define-property                     0.2.5              npm     (+4 duplicates)   
define-property                     1.0.0              npm     (+2 duplicates)   
define-property                     2.0.2              npm                       
delegates                           1.0.0              npm                       
depd                                1.1.2              npm                       
depd                                2.0.0              npm                       
destroy                             1.2.0              npm                       
detect-file                         1.0.0              npm                       
detect-libc                         1.0.3              npm                       
detect-libc                         2.0.4              npm     (+1 duplicate)    
dfa                                 1.2.0              npm                       
diff                                4.0.2              npm                       
doctypes                            1.1.0              npm                       
domelementtype                      1.3.1              npm                       
domhandler                          2.1.0              npm                       
domutils                            1.1.6              npm                       
dottie                              2.0.6              npm                       
double-ended-queue                  0.9.7              npm                       
download                            8.0.0              npm                       
dunder-proto                        1.0.1              npm                       
duplexer2                           0.1.4              npm                       
duplexer3                           0.1.5              npm                       
dynamic-dedupe                      0.3.0              npm                       
eastasianwidth                      0.2.0              npm                       
ee-first                            1.1.1              npm                       
eivindfjeldstad-dot                 0.0.1              npm                       
emoji-regex                         8.0.0              npm                       
emoji-regex                         9.2.2              npm     (+1 duplicate)    
enabled                             2.0.0              npm                       
encodeurl                           1.0.2              npm                       
encodeurl                           2.0.0              npm                       
encoding                            0.1.13             npm                       
end-of-stream                       1.4.5              npm                       
engine.io                           4.1.2              npm                       
engine.io-parser                    4.0.3              npm                       
env-paths                           2.2.1              npm                       
err-code                            1.1.2              npm                       
err-code                            2.0.3              npm                       
errorhandler                        1.5.1              npm                       
es-define-property                  1.0.1              npm                       
es-errors                           1.3.0              npm                       
es-get-iterator                     1.1.3              npm                       
es-object-atoms                     1.1.1              npm                       
escape-html                         1.0.3              npm                       
escape-string-regexp                1.0.5              npm                       
escodegen                           2.1.0              npm                       
esprima                             1.0.4              npm                       
esprima                             4.0.1              npm                       
estraverse                          5.3.0              npm                       
esutils                             2.0.3              npm                       
etag                                1.8.1              npm                       
ethereum-cryptography               2.2.1              npm                       
ethers                              6.15.0             npm                       
event-target-shim                   5.0.1              npm                       
eventemitter2                       0.4.14             npm                       
eventemitter3                       1.1.1              npm                       
eventemitter3                       5.0.1              npm                       
events                              3.3.0              npm                       
exit                                0.1.2              npm                       
expand-brackets                     2.1.4              npm                       
expand-template                     2.0.3              npm                       
expand-tilde                        2.0.2              npm                       
exponential-backoff                 3.1.2              npm                       
express                             4.21.2             npm                       
express-ipfilter                    1.3.2              npm                       
express-jwt                         0.1.3              npm                       
express-rate-limit                  7.5.1              npm                       
express-robots-txt                  0.4.1              npm                       
express-security.txt                2.0.0              npm                       
ext-list                            2.2.2              npm                       
ext-name                            5.0.0              npm                       
extend                              3.0.2              npm                       
extend-shallow                      2.0.1              npm     (+5 duplicates)   
extend-shallow                      3.0.2              npm                       
extglob                             2.0.4              npm                       
false_main                          UNKNOWN            npm                       
fast.js                             0.1.1              npm                       
fd-slicer                           1.1.0              npm                       
fdir                                6.5.0              npm                       
feature-policy                      0.5.0              npm                       
fecha                               4.2.3              npm                       
file-js                             0.3.0              npm                       
file-stream-rotator                 1.0.0              npm                       
file-type                           11.1.0             npm                       
file-type                           16.5.4             npm                       
file-type                           3.9.0              npm                       
file-type                           4.4.0              npm                       
file-type                           5.2.0              npm     (+1 duplicate)    
file-type                           6.2.0              npm                       
file-uri-to-path                    1.0.0              npm                       
filehound                           1.17.6             npm                       
filename-reserved-regex             2.0.0              npm                       
filenamify                          3.0.0              npm                       
filesniffer                         1.0.3              npm                       
fill-range                          4.0.0              npm                       
fill-range                          7.1.1              npm     (+2 duplicates)   
finale-rest                         1.2.2              npm                       
finalhandler                        1.3.1              npm                       
find-up                             4.1.0              npm                       
findup-sync                         2.0.0              npm                       
findup-sync                         4.0.0              npm                       
findup-sync                         5.0.0              npm                       
fined                               1.2.0              npm                       
flagged-respawn                     1.0.1              npm                       
fn.name                             1.1.0              npm                       
fontkit                             1.9.0              npm                       
for-each                            0.3.5              npm                       
for-in                              1.0.2              npm                       
for-own                             1.0.0              npm                       
foreachasync                        3.0.0              npm                       
foreground-child                    3.3.1              npm                       
formatio                            1.1.1              npm                       
forwarded                           0.2.0              npm                       
fragment-cache                      0.2.1              npm                       
fresh                               0.5.2              npm                       
from2                               2.3.0              npm                       
frontend                            19.0.0             npm                       
fs-constants                        1.0.0              npm                       
fs-extra                            9.1.0              npm                       
fs-minipass                         1.2.7              npm                       
fs-minipass                         2.1.0              npm                       
fs-minipass                         3.0.3              npm                       
fs.realpath                         1.0.0              npm                       
fstream                             1.0.12             npm                       
function-bind                       1.1.2              npm                       
functions-have-names                1.2.3              npm                       
fuzzball                            1.4.0              npm                       
gauge                               2.7.4              npm                       
gauge                               4.0.4              npm                       
gcc-12-base                         12.2.0-14+deb12u1  deb                       
geojson-utils                       1.1.0              npm                       
get-caller-file                     2.0.5              npm                       
get-intrinsic                       1.3.0              npm                       
